imagename,indic, height
NRmarshDN-12-02-10-23-30.jpg,0,78.476
NRmarshDN-12-02-10-23-46.jpg,0,79.697
NRmarshDN-12-02-11-00-00.jpg,0,80.696
NRmarshDN-12-02-11-00-15.jpg,0,81.73
NRmarshDN-12-02-11-00-30.jpg,0,27.489
NRmarshDN-12-02-11-00-45.jpg,0,82.142
NRmarshDN-12-02-11-01-00.jpg,0,80.919
NRmarshDN-12-02-11-01-15.jpg,0,79.3
NRmarshDN-12-02-11-01-30.jpg,0,77.751
NRmarshDN-12-02-11-01-45.jpg,0,75.052
NRmarshDN-12-02-11-02-00.jpg,0,71.038
NRmarshDN-12-02-11-02-15.jpg,0,65.517
NRmarshDN-12-02-11-02-30.jpg,0,60.444
NRmarshDN-12-02-11-02-45.jpg,0,55.471
NRmarshDN-12-02-11-03-00.jpg,0,50.786
NRmarshDN-12-02-11-03-15.jpg,0,46.35
NRmarshDN-12-02-11-03-30.jpg,0,42.24
NRmarshDN-12-02-11-03-45.jpg,0,38.491
NRmarshDN-12-02-11-04-00.jpg,0,35.196
NRmarshDN-12-02-11-04-15.jpg,0,32.154
NRmarshDN-12-02-11-04-30.jpg,0,29.539
NRmarshDN-12-02-11-04-45.jpg,0,27.014
NRmarshDN-12-02-11-05-00.jpg,0,24.785
NRmarshDN-12-02-11-05-15.jpg,0,22.542
NRmarshDN-12-02-11-05-30.jpg,0,20.591
NRmarshDN-12-02-11-05-45.jpg,0,18.855
NRmarshDN-12-02-11-06-00.jpg,0,17.413
NRmarshDN-12-02-11-06-15.jpg,0,16.085
NRmarshDN-12-02-11-06-30.jpg,0,15.095
NRmarshDN-12-02-11-06-45.jpg,0,14.29
NRmarshDN-12-02-11-07-00.jpg,0,13.69
NRmarshDN-12-02-11-07-15.jpg,0,13.261
NRmarshDN-12-02-11-07-30.jpg,0,13.065
NRmarshDN-12-02-11-07-45.jpg,0,14.85
NRmarshDN-12-02-11-08-00.jpg,0,19.429
NRmarshDN-12-02-11-08-15.jpg,0,24.239
NRmarshDN-12-02-11-08-30.jpg,0,28.935
NRmarshDN-12-02-11-08-45.jpg,0,33.912
NRmarshDN-12-02-11-09-00.jpg,0,38.922
NRmarshDN-12-02-11-09-15.jpg,0,44.15
NRmarshDN-12-02-11-09-30.jpg,0,49.382
NRmarshDN-12-02-11-09-45.jpg,0,54.436
NRmarshDN-12-02-11-10-00.jpg,0,58.753
NRmarshDN-12-02-11-10-15.jpg,0,63.238
NRmarshDN-12-02-11-10-30.jpg,0,66.822
NRmarshDN-12-02-11-10-45.jpg,0,70.008
NRmarshDN-12-02-11-11-00.jpg,0,72.555
NRmarshDN-12-02-11-11-15.jpg,0,74.563
NRmarshDN-12-02-11-11-30.jpg,0,76.349
NRmarshDN-12-02-11-11-45.jpg,0,77.808
NRmarshDN-12-02-11-12-00.jpg,0,79.208
NRmarshDN-12-02-11-12-15.jpg,0,80.186
NRmarshDN-12-02-11-12-30.jpg,0,80.919
NRmarshDN-12-02-11-12-45.jpg,0,81.164
NRmarshDN-12-02-11-13-00.jpg,0,80.221
NRmarshDN-12-02-11-13-15.jpg,0,78.972
NRmarshDN-12-02-11-13-30.jpg,0,77.252
NRmarshDN-12-02-11-13-45.jpg,0,74.563
NRmarshDN-12-02-11-14-00.jpg,0,70.178
NRmarshDN-12-02-11-14-15.jpg,0,64.601
NRmarshDN-12-02-11-14-30.jpg,0,59.43
NRmarshDN-12-02-11-14-45.jpg,0,54.423
NRmarshDN-12-02-11-15-00.jpg,0,49.477
NRmarshDN-12-02-11-15-15.jpg,,
NRmarshDN-12-02-11-15-30.jpg,0,41.578
NRmarshDN-12-02-11-15-45.jpg,0,38.122
NRmarshDN-12-02-11-16-00.jpg,0,35.299
NRmarshDN-12-02-11-16-15.jpg,0,32.711
NRmarshDN-12-02-11-16-30.jpg,0,30.31
NRmarshDN-12-02-11-16-45.jpg,0,27.775
NRmarshDN-12-02-11-17-00.jpg,0,26.106
NRmarshDN-12-02-11-18-15.jpg,0,15.974
NRmarshDN-12-02-11-18-30.jpg,0,14.762
NRmarshDN-12-02-11-18-45.jpg,0,13.905
NRmarshDN-12-02-11-19-00.jpg,0,13.331
NRmarshDN-12-02-11-19-15.jpg,0,12.839
NRmarshDN-12-02-11-19-30.jpg,0,12.562
NRmarshDN-12-02-11-19-45.jpg,0,12.269
NRmarshDN-12-02-11-20-00.jpg,0,12.129
NRmarshDN-12-02-11-20-15.jpg,0,12.014
NRmarshDN-12-02-11-20-30.jpg,0,12.021
NRmarshDN-12-02-11-20-45.jpg,0,11.864
NRmarshDN-12-02-11-21-00.jpg,0,11.91
NRmarshDN-12-02-11-21-15.jpg,0,11.87
NRmarshDN-12-02-11-21-30.jpg,0,11.953
NRmarshDN-12-02-11-21-45.jpg,0,11.876
NRmarshDN-12-02-11-22-00.jpg,0,14.085
NRmarshDN-12-02-11-22-15.jpg,0,19.691
NRmarshDN-12-02-11-22-30.jpg,0,25.029
NRmarshDN-12-02-11-22-45.jpg,0,30.831
NRmarshDN-12-02-11-23-00.jpg,0,36.118
NRmarshDN-12-02-11-23-15.jpg,0,39.856
NRmarshDN-12-02-11-23-30.jpg,0,41.82
NRmarshDN-12-02-11-23-45.jpg,0,40.624
NRmarshDN-12-02-12-00-00.jpg,0,40.535
NRmarshDN-12-02-12-00-15.jpg,0,41.833
NRmarshDN-12-02-12-00-30.jpg,0,43.02
NRmarshDN-12-02-12-00-45.jpg,0,41.686
NRmarshDN-12-02-12-01-00.jpg,0,37.158
NRmarshDN-12-02-12-01-15.jpg,0,32.889
NRmarshDN-12-02-12-01-30.jpg,0,30.209
NRmarshDN-12-02-12-01-45.jpg,0,27.418
NRmarshDN-12-02-12-02-00.jpg,0,26.954
NRmarshDN-12-02-12-02-15.jpg,0,25.07
NRmarshDN-12-02-12-02-30.jpg,0,23.706
NRmarshDN-12-02-12-02-45.jpg,0,20.985
NRmarshDN-12-02-12-03-00.jpg,0,19.545
NRmarshDN-12-02-12-03-15.jpg,0,17.713
NRmarshDN-12-02-12-03-30.jpg,0,15.953
NRmarshDN-12-02-12-03-45.jpg,0,14.969
NRmarshDN-12-02-12-04-00.jpg,0,14.024
NRmarshDN-12-02-12-04-15.jpg,0,13.107
NRmarshDN-12-02-12-04-30.jpg,0,12.534
NRmarshDN-12-02-12-04-45.jpg,0,12.06
NRmarshDN-12-02-12-05-00.jpg,0,11.963
NRmarshDN-12-02-12-05-15.jpg,0,11.945
NRmarshDN-12-02-12-05-30.jpg,0,11.911
NRmarshDN-12-02-12-05-45.jpg,0,11.854
NRmarshDN-12-02-12-06-00.jpg,0,11.892
NRmarshDN-12-02-12-06-15.jpg,0,11.898
NRmarshDN-12-02-12-06-30.jpg,0,11.906
NRmarshDN-12-02-12-06-45.jpg,0,11.75
NRmarshDN-12-02-12-07-00.jpg,0,11.772
NRmarshDN-12-02-12-07-15.jpg,0,12.368
NRmarshDN-12-02-12-07-30.jpg,0,12.355
NRmarshDN-12-02-12-07-45.jpg,0,12.353
NRmarshDN-12-02-12-08-00.jpg,0,11.749
NRmarshDN-12-02-12-08-15.jpg,0,11.794
NRmarshDN-12-02-12-08-30.jpg,0,11.034
NRmarshDN-12-02-12-08-45.jpg,0,10.932
NRmarshDN-12-02-12-09-01.jpg,0,10.916
NRmarshDN-12-02-12-09-15.jpg,0,10.96
NRmarshDN-12-02-12-09-30.jpg,0,12.813
NRmarshDN-12-02-12-09-45.jpg,0,11.642
NRmarshDN-12-02-12-10-00.jpg,0,11.4
NRmarshDN-12-02-12-10-15.jpg,0,11.087
NRmarshDN-12-02-12-10-30.jpg,0,11.498
NRmarshDN-12-02-12-10-45.jpg,0,11.694
NRmarshDN-12-02-12-11-00.jpg,0,11.859
NRmarshDN-12-02-12-11-15.jpg,0,12.207
NRmarshDN-12-02-12-11-30.jpg,0,19.404
NRmarshDN-12-02-12-11-45.jpg,0,23.983
NRmarshDN-12-02-12-12-00.jpg,0,33.096
NRmarshDN-12-02-12-12-15.jpg,0,41.322
NRmarshDN-12-02-12-12-30.jpg,0,47.348
NRmarshDN-12-02-12-12-45.jpg,0,51.326
NRmarshDN-12-02-12-13-00.jpg,0,54.938
NRmarshDN-12-02-12-13-15.jpg,0,58.054
NRmarshDN-12-02-12-13-30.jpg,0,59.656
NRmarshDN-12-02-12-13-45.jpg,0,58.795
NRmarshDN-12-02-12-14-00.jpg,0,54.865
